order	Country_Other	Total_Cases	Total_Deaths	Total_Recovered	Active_Cases	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population
1	USA	98,572,011	1,087,976	95,773,910	1,710,125	294,139	3,247	1,122,147,003	3,348,488	335,120,523
2	India	44,616,394	528,822	44,060,198	27,374	31,625	375	896,987,772	635,804	1,410,792,039
3	France	35,875,626	155,535	34,817,884	902,207	546,875	2,371	271,490,188	4,138,498	65,601,133
4	Brazil	34,766,204	686,928	33,926,118	153,158	160,964	3,18	63,776,166	295,277	215,987,681
5	Germany	34,121,168	150,72	32,701,100	1,269,348	404,319	1,786	122,332,384	1,449,579	84,391,659
6	S._Korea	24,995,246	28,708	24,536,323	430,215	486,58	559	15,804,065	307,656	51,369,259
7	UK	23,735,273	190,888	23,394,134	150,251	345,517	2,779	522,526,476	7,606,465	68,695,046
8	Italy	22,830,825	177,57	22,149,828	503,427	378,871	2,947	248,648,092	4,126,240	60,260,214
9	Japan	21,564,995	45,538	20,433,996	1,085,461	171,698	363	76,201,407	606,706	125,598,560
10	Russia	21,232,963	388,404	20,470,552	374,007	145,355	2,659	273,400,000	1,871,624	146,076,385
11	Turkey	16,896,522	101,179	16,788,849	6,494	195,565	1,171	162,743,369	1,883,636	86,398,503
12	Spain	13,441,941	114,468	13,242,579	84,894	287,246	2,446	471,036,328	10,065,771	46,795,851
13	Vietnam	11,487,459	43,153	10,596,509	847,797	115,654	434	85,826,548	864,09	99,325,903
14	Australia	10,278,831	15,383	10,216,900	46,548	392,752	588	78,835,048	3,012,270	26,171,307
15	Argentina	9,713,594	129,958	9,573,980	9,656	210,539	2,817	35,716,069	774,133	46,136,846
16	Netherlands	8,441,351	22,663	8,375,492	43,196	490,181	1,316	21,107,399	1,225,687	17,220,870
17	Iran	7,552,404	144,49	7,327,929	79,985	87,379	1,672	54,095,556	625,869	86,432,747
18	Mexico	7,097,264	330,208	6,368,863	398,193	53,764	2,501	18,442,240	139,707	132,006,734
19	Taiwan	6,945,018	11,62	6,078,740	854,658	290,41	486	26,733,787	1,117,888	23,914,552
20	Indonesia	6,446,143	158,219	6,272,053	15,871	23,015	565	109,339,337	390,376	280,087,083
21	Poland	6,318,840	117,801	5,335,940	865,099	167,375	3,12	37,478,185	992,731	37,752,610
22	Colombia	6,308,087	141,807	6,135,815	30,465	121,045	2,721	36,615,681	702,613	52,113,610
23	Portugal	5,501,103	25,075	5,418,046	57,982	543,088	2,475	45,059,939	4,448,477	10,129,295
24	Austria	5,260,762	20,825	5,098,210	141,727	576,649	2,283	198,596,763	21,768,833	9,122,986
25	Ukraine	5,177,217	109,206	5,023,874	44,137	120,015	2,532	19,521,252	452,529	43,138,153
26	Greece	4,975,067	33,2	4,910,509	31,358	482,659	3,221	94,835,870	9,200,550	10,307,631
27	Malaysia	4,856,217	36,403	4,797,647	22,167	145,801	1,093	64,820,569	1,946,149	33,307,100
28	DPRK	4,772,813	74	4,772,739	0	183,322	3	NA	NA	26,035,109
29	Thailand	4,685,047	32,829	4,647,275	4,943	66,741	468	17,270,775	246,032	70,197,269
30	Israel	4,668,651	11,71	4,650,774	6,167	500,606	1,256	41,373,364	4,436,346	9,326,000
31	Chile	4,655,058	61,339	4,578,602	15,117	238,861	3,147	45,470,580	2,333,196	19,488,539
32	Belgium	4,575,519	32,746	4,469,661	73,112	390,935	2,798	35,738,286	3,053,498	11,704,048
33	Canada	4,270,891	45,394	4,160,209	65,288	110,952	1,179	65,257,508	1,695,307	38,493,036
34	Peru	4,148,691	216,788	3,926,330	5,573	121,969	6,373	35,354,211	1,039,394	34,014,243
35	Czechia	4,131,060	41,281	4,068,834	20,945	384,14	3,839	56,333,733	5,238,376	10,754,045
36	Switzerland	4,109,154	14,192	4,035,920	59,042	467,043	1,613	22,389,180	2,544,737	8,798,228
37	South_Africa	4,021,386	102,194	3,912,506	6,686	65,918	1,675	26,174,429	429,049	61,005,687
38	Philippines	3,969,987	63,297	3,880,676	26,014	35,167	561	32,982,676	292,164	112,891,089
